Variety|Aroma|Aftertaste|Flavor|Balance|Sweetness|Acidity
Caturra|28|36|49|58|100|28
Bourbon|29|25|45|45|100|58
Typica|27|31|49|47|90|54
Other|33|50|65|65|100|57
Catuai|24|30|42|40|74|49
Hawaiian Kona|28|43|53|57|91|52
Yellow Bourbon|29|50|58|58|100|50
Mundo Novo|56|87|100|100|100|100
Catimor|31|37|53|51|100|57
SL14|25|46|53|63|66|58
